shift	center	amp	phase
2.38000E+0	31.3223E+3	79.0375E-12	-61.4768E+0
2.37069E+0	31.3223E+3	79.8552E-12	-58.7134E+0
2.36137E+0	31.3223E+3	83.0334E-12	-66.0161E+0
2.35206E+0	31.3223E+3	82.0386E-12	-55.7166E+0
2.34274E+0	31.3223E+3	83.2738E-12	-65.2674E+0
2.33343E+0	31.3223E+3	79.2375E-12	-64.7784E+0
2.32411E+0	31.3223E+3	80.2204E-12	-61.1801E+0
2.31480E+0	31.3223E+3	79.2609E-12	-65.2284E+0
2.30548E+0	31.3223E+3	78.6401E-12	-61.2719E+0
2.29616E+0	31.3223E+3	76.9140E-12	-59.6872E+0
2.28685E+0	31.3223E+3	77.0090E-12	-58.8974E+0
2.27753E+0	31.3223E+3	88.0691E-12	-62.1215E+0
2.26822E+0	31.3223E+3	81.1730E-12	-64.6444E+0
2.25890E+0	31.3223E+3	85.0746E-12	-57.8894E+0
2.24959E+0	31.3223E+3	83.8298E-12	-62.7278E+0
2.24027E+0	31.3223E+3	81.0775E-12	-59.9187E+0
2.23096E+0	31.3223E+3	88.9591E-12	-58.7115E+0
2.22164E+0	31.3223E+3	82.0513E-12	-66.1729E+0
2.21233E+0	31.3223E+3	77.4484E-12	-63.0892E+0
2.20301E+0	31.3223E+3	79.1973E-12	-62.0213E+0
2.19370E+0	31.3223E+3	83.0623E-12	-63.3844E+0
2.18438E+0	31.3223E+3	81.3085E-12	-62.4212E+0
2.17507E+0	31.3223E+3	83.1578E-12	-59.3685E+0
2.16575E+0	31.3223E+3	90.3089E-12	-62.4372E+0
2.15644E+0	31.3223E+3	86.3399E-12	-60.7898E+0
2.14712E+0	31.3223E+3	83.8620E-12	-64.5277E+0
2.13781E+0	31.3223E+3	79.9526E-12	-63.7732E+0
2.12849E+0	31.3223E+3	89.7743E-12	-61.7000E+0
2.11918E+0	31.3223E+3	90.9629E-12	-63.6200E+0
2.10986E+0	31.3223E+3	84.5587E-12	-60.1855E+0
2.10055E+0	31.3223E+3	87.9300E-12	-59.4478E+0
2.09123E+0	31.3223E+3	94.7440E-12	-61.3298E+0
2.08192E+0	31.3223E+3	90.8423E-12	-66.5130E+0
2.07260E+0	31.3223E+3	90.1680E-12	-66.0715E+0
2.06329E+0	31.3223E+3	91.6228E-12	-58.2777E+0
2.05397E+0	31.3223E+3	88.7294E-12	-63.9614E+0
2.04466E+0	31.3223E+3	90.7807E-12	-62.0699E+0
2.03534E+0	31.3223E+3	88.3813E-12	-61.1213E+0
2.02603E+0	31.3223E+3	93.4770E-12	-63.5413E+0
2.01671E+0	31.3223E+3	85.3795E-12	-61.3525E+0
2.00740E+0	31.3223E+3	88.9971E-12	-62.0645E+0
1.99808E+0	31.3223E+3	89.3979E-12	-65.0367E+0
1.98877E+0	31.3223E+3	91.6315E-12	-63.0476E+0
1.97945E+0	31.3223E+3	89.1593E-12	-59.5255E+0
1.97014E+0	31.3223E+3	93.3833E-12	-62.2810E+0
1.96082E+0	31.3223E+3	93.0261E-12	-58.2130E+0
1.95151E+0	31.3223E+3	93.8890E-12	-62.6087E+0
1.94219E+0	31.3223E+3	95.2847E-12	-60.5960E+0
1.93288E+0	31.3223E+3	93.3467E-12	-60.4283E+0
1.92356E+0	31.3223E+3	95.0031E-12	-63.1552E+0
1.91425E+0	31.3223E+3	93.6169E-12	-61.1915E+0
1.90493E+0	31.3223E+3	93.6583E-12	-63.0059E+0
1.89562E+0	31.3223E+3	103.162E-12	-60.8523E+0
1.88630E+0	31.3223E+3	103.499E-12	-62.6317E+0
1.87699E+0	31.3223E+3	100.526E-12	-61.9811E+0
1.86767E+0	31.3223E+3	96.0386E-12	-60.3107E+0
1.85836E+0	31.3223E+3	103.991E-12	-65.9137E+0
1.84904E+0	31.3223E+3	103.813E-12	-58.2459E+0
1.83973E+0	31.3223E+3	96.8013E-12	-60.5671E+0
1.83041E+0	31.3223E+3	100.131E-12	-60.5993E+0
1.82110E+0	31.3223E+3	100.393E-12	-64.2071E+0
1.81178E+0	31.3223E+3	97.8860E-12	-58.3653E+0
1.80247E+0	31.3223E+3	98.0319E-12	-62.2518E+0
1.79315E+0	31.3223E+3	100.407E-12	-63.7281E+0
1.78384E+0	31.3223E+3	101.467E-12	-63.1685E+0
