Experiment	Frequency Sweep	
Date	30.04.2017 16:50:36	
User		
f_res (Hz)	31692.5183	
Q	17681	
Phase (deg)	-59.97	
Amp/Exc (nm/mV)	0.319250	
Number of points	512	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
-19.1000E+0	31.6915E+3	5.45461E-12	-10.7601E+0
-19.0252E+0	31.6915E+3	146.434E-12	91.5896E+0
-18.9505E+0	31.6915E+3	140.786E-12	91.3980E+0
-18.8757E+0	31.6915E+3	142.019E-12	90.9100E+0
-18.8010E+0	31.6915E+3	143.469E-12	91.0998E+0
-18.7262E+0	31.6915E+3	143.456E-12	91.4872E+0
-18.6515E+0	31.6915E+3	144.711E-12	91.3708E+0
-18.5767E+0	31.6915E+3	144.916E-12	91.0860E+0
-18.5020E+0	31.6915E+3	144.939E-12	91.0769E+0
-18.4272E+0	31.6915E+3	146.579E-12	90.9306E+0
-18.3525E+0	31.6915E+3	147.021E-12	91.3834E+0
-18.2777E+0	31.6915E+3	146.444E-12	91.1541E+0
-18.2029E+0	31.6915E+3	146.939E-12	91.0917E+0
-18.1282E+0	31.6915E+3	147.871E-12	91.1274E+0
-18.0534E+0	31.6915E+3	148.470E-12	91.3649E+0
-17.9787E+0	31.6915E+3	150.384E-12	91.3276E+0
-17.9039E+0	31.6915E+3	149.318E-12	91.1904E+0
-17.8292E+0	31.6915E+3	150.262E-12	91.3424E+0
-17.7544E+0	31.6915E+3	149.845E-12	90.9920E+0
-17.6797E+0	31.6915E+3	152.177E-12	91.3720E+0
-17.6049E+0	31.6915E+3	151.498E-12	91.3562E+0
-17.5302E+0	31.6915E+3	152.328E-12	90.9384E+0
-17.4554E+0	31.6915E+3	153.161E-12	91.0029E+0
-17.3806E+0	31.6915E+3	153.078E-12	91.4077E+0
-17.3059E+0	31.6915E+3	154.056E-12	91.1941E+0
-17.2311E+0	31.6915E+3	153.737E-12	90.8482E+0
-17.1564E+0	31.6915E+3	155.765E-12	91.0921E+0
-17.0816E+0	31.6915E+3	155.444E-12	91.3901E+0
-17.0069E+0	31.6915E+3	156.659E-12	91.2380E+0
-16.9321E+0	31.6915E+3	158.074E-12	90.8036E+0
-16.8574E+0	31.6915E+3	157.900E-12	90.7540E+0
-16.7826E+0	31.6915E+3	157.204E-12	91.0353E+0
-16.7078E+0	31.6915E+3	158.999E-12	90.9028E+0
-16.6331E+0	31.6915E+3	159.920E-12	91.3092E+0
-16.5583E+0	31.6915E+3	160.359E-12	90.5992E+0
-16.4836E+0	31.6915E+3	160.876E-12	90.8533E+0
-16.4088E+0	31.6915E+3	162.610E-12	90.6382E+0
-16.3341E+0	31.6915E+3	161.783E-12	90.9509E+0
-16.2593E+0	31.6915E+3	162.555E-12	90.8936E+0
-16.1846E+0	31.6915E+3	163.952E-12	90.7413E+0
-16.1098E+0	31.6915E+3	164.425E-12	91.1208E+0
-16.0351E+0	31.6915E+3	165.182E-12	90.5107E+0
-15.9603E+0	31.6915E+3	164.724E-12	91.2681E+0
-15.8855E+0	31.6915E+3	166.338E-12	90.8782E+0
-15.8108E+0	31.6915E+3	166.164E-12	91.0781E+0
-15.7360E+0	31.6915E+3	168.292E-12	90.6977E+0
-15.6613E+0	31.6915E+3	167.993E-12	90.4055E+0
-15.5865E+0	31.6915E+3	169.470E-12	90.7689E+0
-15.5118E+0	31.6915E+3	170.329E-12	90.8460E+0
-15.4370E+0	31.6915E+3	169.419E-12	90.6651E+0
-15.3623E+0	31.6915E+3	171.240E-12	90.9010E+0
-15.2875E+0	31.6915E+3	171.413E-12	90.7464E+0
-15.2127E+0	31.6915E+3	174.448E-12	90.5440E+0
-15.1380E+0	31.6915E+3	174.418E-12	90.8886E+0
-15.0632E+0	31.6915E+3	175.043E-12	91.1413E+0
-14.9885E+0	31.6915E+3	176.096E-12	91.3008E+0
-14.9137E+0	31.6915E+3	176.529E-12	90.7653E+0
-14.8390E+0	31.6915E+3	178.629E-12	90.5937E+0
-14.7642E+0	31.6915E+3	178.308E-12	90.2337E+0
