Experiment	Frequency Sweep	
Date	04.05.2017 16:10:16	
User		
f_res (Hz)	31324.0835	
Q	51857	
Phase (deg)	-616.12	
Amp/Exc (nm/mV)	0.483608	
Number of points	512	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
-4.77000E+0	31.3237E+3	144.943E-12	115.054E+0
-4.75133E+0	31.3237E+3	146.950E-12	115.925E+0
-4.73266E+0	31.3237E+3	137.206E-12	117.993E+0
-4.71399E+0	31.3237E+3	136.151E-12	115.973E+0
-4.69532E+0	31.3237E+3	143.576E-12	113.092E+0
-4.67665E+0	31.3237E+3	149.679E-12	115.931E+0
-4.65799E+0	31.3237E+3	141.730E-12	115.189E+0
-4.63932E+0	31.3237E+3	142.846E-12	118.934E+0
-4.62065E+0	31.3237E+3	145.471E-12	112.955E+0
-4.60198E+0	31.3237E+3	142.256E-12	116.606E+0
-4.58331E+0	31.3237E+3	144.867E-12	113.646E+0
-4.56464E+0	31.3237E+3	149.517E-12	114.171E+0
-4.54597E+0	31.3237E+3	156.494E-12	117.616E+0
-4.52730E+0	31.3237E+3	151.578E-12	118.218E+0
-4.50863E+0	31.3237E+3	146.536E-12	114.593E+0
-4.48996E+0	31.3237E+3	144.638E-12	113.930E+0
-4.47129E+0	31.3237E+3	153.077E-12	113.671E+0
-4.45262E+0	31.3237E+3	149.733E-12	116.410E+0
-4.43396E+0	31.3237E+3	157.739E-12	119.961E+0
-4.41529E+0	31.3237E+3	149.974E-12	119.140E+0
-4.39662E+0	31.3237E+3	152.184E-12	111.025E+0
-4.37795E+0	31.3237E+3	165.856E-12	118.478E+0
-4.35928E+0	31.3237E+3	143.670E-12	118.754E+0
-4.34061E+0	31.3237E+3	152.093E-12	112.465E+0
-4.32194E+0	31.3237E+3	164.588E-12	115.361E+0
-4.30327E+0	31.3237E+3	157.230E-12	117.631E+0
-4.28460E+0	31.3237E+3	149.638E-12	116.230E+0
-4.26593E+0	31.3237E+3	150.824E-12	113.547E+0
-4.24726E+0	31.3237E+3	171.582E-12	111.684E+0
-4.22860E+0	31.3237E+3	164.203E-12	116.113E+0
-4.20993E+0	31.3237E+3	161.282E-12	112.927E+0
-4.19126E+0	31.3237E+3	166.995E-12	114.181E+0
-4.17259E+0	31.3237E+3	161.174E-12	113.441E+0
-4.15392E+0	31.3237E+3	164.262E-12	119.743E+0
-4.13525E+0	31.3237E+3	160.495E-12	118.486E+0
-4.11658E+0	31.3237E+3	154.625E-12	116.828E+0
-4.09791E+0	31.3237E+3	173.167E-12	112.912E+0
-4.07924E+0	31.3237E+3	153.518E-12	119.326E+0
-4.06057E+0	31.3237E+3	152.524E-12	113.885E+0
-4.04190E+0	31.3237E+3	181.066E-12	115.251E+0
-4.02323E+0	31.3237E+3	164.580E-12	118.177E+0
-4.00457E+0	31.3237E+3	155.535E-12	115.184E+0
-3.98590E+0	31.3237E+3	163.745E-12	114.442E+0
-3.96723E+0	31.3237E+3	173.861E-12	115.501E+0
-3.94856E+0	31.3237E+3	161.679E-12	114.944E+0
-3.92989E+0	31.3237E+3	168.391E-12	115.007E+0
-3.91122E+0	31.3237E+3	160.181E-12	114.181E+0
-3.89255E+0	31.3237E+3	166.999E-12	111.326E+0
-3.87388E+0	31.3237E+3	183.210E-12	108.129E+0
-3.85521E+0	31.3237E+3	185.134E-12	115.270E+0
