Experiment	Frequency Sweep	
Date	30.04.2017 16:28:19	
User		
f_res (Hz)	29949.9661	
Q	12484	
Phase (deg)	-64.20	
Amp/Exc (nm/mV)	0.001930	
Number of points	512	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
-19.1000E+0	29.9576E+3	3.42815E-12	108.754E+0
-19.0252E+0	29.9576E+3	3.53556E-12	111.011E+0
-18.9505E+0	29.9576E+3	2.93201E-12	81.1057E+0
-18.8757E+0	29.9576E+3	3.63492E-12	112.186E+0
-18.8010E+0	29.9576E+3	3.46876E-12	82.6489E+0
-18.7262E+0	29.9576E+3	3.49814E-12	113.318E+0
-18.6515E+0	29.9576E+3	3.40895E-12	106.699E+0
-18.5767E+0	29.9576E+3	3.58678E-12	90.3985E+0
-18.5020E+0	29.9576E+3	2.80454E-12	73.8323E+0
-18.4272E+0	29.9576E+3	3.36887E-12	102.399E+0
-18.3525E+0	29.9576E+3	3.65529E-12	114.344E+0
-18.2777E+0	29.9576E+3	2.99685E-12	106.730E+0
-18.2029E+0	29.9576E+3	3.63986E-12	110.766E+0
-18.1282E+0	29.9576E+3	4.06334E-12	111.556E+0
-18.0534E+0	29.9576E+3	3.62461E-12	110.005E+0
-17.9787E+0	29.9576E+3	3.15162E-12	90.4627E+0
-17.9039E+0	29.9576E+3	3.68237E-12	109.962E+0
-17.8292E+0	29.9576E+3	3.31159E-12	99.2775E+0
-17.7544E+0	29.9576E+3	4.12093E-12	115.352E+0
-17.6797E+0	29.9576E+3	3.34872E-12	114.238E+0
-17.6049E+0	29.9576E+3	3.64121E-12	104.637E+0
-17.5302E+0	29.9576E+3	3.73709E-12	81.9354E+0
-17.4554E+0	29.9576E+3	3.49328E-12	109.725E+0
-17.3806E+0	29.9576E+3	3.63208E-12	104.794E+0
-17.3059E+0	29.9576E+3	3.79533E-12	103.872E+0
-17.2311E+0	29.9576E+3	3.57616E-12	107.377E+0
-17.1564E+0	29.9576E+3	3.95030E-12	116.168E+0
-17.0816E+0	29.9576E+3	3.45979E-12	107.503E+0
-17.0069E+0	29.9576E+3	3.89537E-12	110.847E+0
-16.9321E+0	29.9576E+3	3.75258E-12	118.576E+0
-16.8574E+0	29.9576E+3	4.10002E-12	122.203E+0
-16.7826E+0	29.9576E+3	3.90973E-12	107.151E+0
-16.7078E+0	29.9576E+3	3.51313E-12	104.250E+0
-16.6331E+0	29.9576E+3	3.99054E-12	114.546E+0
-16.5583E+0	29.9576E+3	3.78660E-12	118.945E+0
-16.4836E+0	29.9576E+3	3.90662E-12	114.456E+0
-16.4088E+0	29.9576E+3	3.54288E-12	117.628E+0
-16.3341E+0	29.9576E+3	3.90378E-12	115.837E+0
-16.2593E+0	29.9576E+3	3.62182E-12	95.2320E+0
-16.1846E+0	29.9576E+3	3.95316E-12	110.901E+0
-16.1098E+0	29.9576E+3	3.93565E-12	120.724E+0
-16.0351E+0	29.9576E+3	4.00846E-12	115.750E+0
-15.9603E+0	29.9576E+3	3.88759E-12	113.133E+0
-15.8855E+0	29.9576E+3	3.97754E-12	122.804E+0
-15.8108E+0	29.9576E+3	4.02147E-12	109.573E+0
-15.7360E+0	29.9576E+3	4.23169E-12	129.407E+0
-15.6613E+0	29.9576E+3	4.47019E-12	113.989E+0
-15.5865E+0	29.9576E+3	4.08753E-12	118.829E+0
-15.5118E+0	29.9576E+3	4.17795E-12	118.218E+0
-15.4370E+0	29.9576E+3	4.86254E-12	122.773E+0
-15.3623E+0	29.9576E+3	4.13415E-12	123.412E+0
-15.2875E+0	29.9576E+3	4.00379E-12	114.277E+0
-15.2127E+0	29.9576E+3	4.66299E-12	120.396E+0
-15.1380E+0	29.9576E+3	4.21102E-12	123.411E+0
-15.0632E+0	29.9576E+3	4.38716E-12	127.473E+0
-14.9885E+0	29.9576E+3	4.07889E-12	105.756E+0
-14.9137E+0	29.9576E+3	4.21719E-12	129.290E+0
-14.8390E+0	29.9576E+3	4.66507E-12	113.390E+0
-14.7642E+0	29.9576E+3	4.26648E-12	120.035E+0
-14.6895E+0	29.9576E+3	4.15722E-12	123.318E+0
-14.6147E+0	29.9576E+3	4.76635E-12	113.322E+0
-14.5399E+0	29.9576E+3	4.21333E-12	119.123E+0
-14.4652E+0	29.9576E+3	4.76909E-12	116.816E+0
-14.3904E+0	29.9576E+3	5.01910E-12	124.064E+0
-14.3157E+0	29.9576E+3	4.63698E-12	123.323E+0
-14.2409E+0	29.9576E+3	4.56687E-12	123.953E+0
-14.1662E+0	29.9576E+3	4.87264E-12	121.839E+0
-14.0914E+0	29.9576E+3	4.57043E-12	118.021E+0
-14.0167E+0	29.9576E+3	4.96748E-12	116.718E+0
-13.9419E+0	29.9576E+3	4.32016E-12	119.628E+0
-13.8671E+0	29.9576E+3	5.08767E-12	125.317E+0
-13.7924E+0	29.9576E+3	5.07397E-12	113.956E+0
-13.7176E+0	29.9576E+3	4.90267E-12	119.038E+0
-13.6429E+0	29.9576E+3	5.51133E-12	120.230E+0
-13.5681E+0	29.9576E+3	5.04809E-12	119.240E+0
-13.4934E+0	29.9576E+3	5.33890E-12	129.754E+0
-13.4186E+0	29.9576E+3	5.02097E-12	111.474E+0
-13.3439E+0	29.9576E+3	5.18499E-12	118.196E+0
-13.2691E+0	29.9576E+3	5.08410E-12	120.276E+0
-13.1943E+0	29.9576E+3	5.15895E-12	121.102E+0
-13.1196E+0	29.9576E+3	5.37697E-12	123.958E+0
-13.0448E+0	29.9576E+3	5.83019E-12	118.552E+0
-12.9701E+0	29.9576E+3	6.07734E-12	119.583E+0
-12.8953E+0	29.9576E+3	5.42053E-12	121.817E+0
-12.8206E+0	29.9576E+3	5.17398E-12	121.275E+0
-12.7458E+0	29.9576E+3	5.87098E-12	128.795E+0
-12.6711E+0	29.9576E+3	6.06431E-12	123.174E+0
-12.5963E+0	29.9576E+3	5.33190E-12	125.542E+0
-12.5215E+0	29.9576E+3	5.16246E-12	122.440E+0
-12.4468E+0	29.9576E+3	6.11075E-12	117.133E+0
-12.3720E+0	29.9576E+3	6.53401E-12	117.831E+0
-12.2973E+0	29.9576E+3	5.97637E-12	120.781E+0
-12.2225E+0	29.9576E+3	6.46283E-12	122.229E+0
-12.1478E+0	29.9576E+3	6.56706E-12	120.473E+0
-12.0730E+0	29.9576E+3	6.69586E-12	116.309E+0
-11.9983E+0	29.9576E+3	6.73706E-12	117.434E+0
-11.9235E+0	29.9576E+3	6.32761E-12	119.845E+0
-11.8487E+0	29.9576E+3	6.89183E-12	118.040E+0
-11.7740E+0	29.9576E+3	6.68512E-12	123.638E+0
-11.6992E+0	29.9576E+3	6.90254E-12	114.792E+0
-11.6245E+0	29.9576E+3	6.59712E-12	118.556E+0
-11.5497E+0	29.9576E+3	6.63547E-12	117.661E+0
-11.4750E+0	29.9576E+3	6.87835E-12	117.487E+0
-11.4002E+0	29.9576E+3	6.69795E-12	117.050E+0
-11.3254E+0	29.9576E+3	7.63277E-12	117.488E+0
-11.2507E+0	29.9576E+3	7.53923E-12	113.528E+0
-11.1759E+0	29.9576E+3	7.18245E-12	114.644E+0
-11.1012E+0	29.9576E+3	8.18883E-12	114.566E+0
-11.0264E+0	29.9576E+3	8.02746E-12	114.874E+0
-10.9517E+0	29.9576E+3	7.53254E-12	113.702E+0
-10.8769E+0	29.9576E+3	8.28350E-12	113.481E+0
-10.8022E+0	29.9576E+3	8.63703E-12	114.297E+0
-10.7274E+0	29.9576E+3	8.63605E-12	111.601E+0
-10.6526E+0	29.9576E+3	8.38830E-12	111.776E+0
-10.5779E+0	29.9576E+3	8.69905E-12	111.780E+0
-10.5031E+0	29.9576E+3	8.81263E-12	111.063E+0
-10.4284E+0	29.9576E+3	8.98023E-12	109.784E+0
-10.3536E+0	29.9576E+3	9.46299E-12	110.412E+0
-10.2789E+0	29.9576E+3	9.03953E-12	109.300E+0
-10.2041E+0	29.9576E+3	9.89790E-12	107.977E+0
-10.1294E+0	29.9576E+3	9.46019E-12	104.488E+0
-10.0546E+0	29.9576E+3	9.81818E-12	105.337E+0
-9.97985E+0	29.9576E+3	10.0541E-12	103.942E+0
-9.90509E+0	29.9576E+3	10.4129E-12	102.815E+0
-9.83034E+0	29.9576E+3	10.6955E-12	104.737E+0
-9.75558E+0	29.9576E+3	11.3765E-12	101.845E+0
-9.68083E+0	29.9576E+3	11.0691E-12	99.9144E+0
-9.60607E+0	29.9576E+3	11.6851E-12	99.0391E+0
-9.53131E+0	29.9576E+3	11.4893E-12	100.377E+0
-9.45656E+0	29.9576E+3	12.3382E-12	97.8370E+0
-9.38180E+0	29.9576E+3	12.2362E-12	94.5028E+0
-9.30705E+0	29.9576E+3	13.0474E-12	93.4939E+0
-9.23229E+0	29.9576E+3	13.1445E-12	93.3449E+0
-9.15754E+0	29.9576E+3	13.0413E-12	93.8619E+0
-9.08278E+0	29.9576E+3	13.6280E-12	90.6377E+0
-9.00802E+0	29.9576E+3	14.3960E-12	90.2990E+0
-8.93327E+0	29.9576E+3	14.3142E-12	87.3042E+0
-8.85851E+0	29.9576E+3	15.3892E-12	84.8161E+0
-8.78376E+0	29.9576E+3	15.6545E-12	83.1391E+0
-8.70900E+0	29.9576E+3	15.5524E-12	80.5012E+0
-8.63425E+0	29.9576E+3	16.1488E-12	80.2836E+0
-8.55949E+0	29.9576E+3	16.0893E-12	75.6457E+0
-8.48473E+0	29.9576E+3	16.4420E-12	73.9372E+0
-8.40998E+0	29.9576E+3	16.8545E-12	71.9285E+0
-8.33522E+0	29.9576E+3	17.5132E-12	69.6164E+0
-8.26047E+0	29.9576E+3	17.4567E-12	66.1788E+0
-8.18571E+0	29.9576E+3	18.3162E-12	63.7381E+0
-8.11096E+0	29.9576E+3	17.7209E-12	60.7286E+0
-8.03620E+0	29.9576E+3	18.5183E-12	58.1771E+0
-7.96145E+0	29.9576E+3	18.9984E-12	57.0776E+0
-7.88669E+0	29.9576E+3	18.9070E-12	52.6568E+0
-7.81193E+0	29.9576E+3	18.9870E-12	48.0964E+0
-7.73718E+0	29.9576E+3	18.9038E-12	45.9634E+0
-7.66242E+0	29.9576E+3	19.0583E-12	41.9187E+0
-7.58767E+0	29.9576E+3	19.3000E-12	37.2456E+0
-7.51291E+0	29.9576E+3	18.6113E-12	34.7496E+0
-7.43816E+0	29.9576E+3	18.6186E-12	30.3415E+0
-7.36340E+0	29.9576E+3	18.3569E-12	28.4003E+0
-7.28865E+0	29.9576E+3	18.4605E-12	23.9983E+0
-7.21389E+0	29.9576E+3	17.9680E-12	20.9493E+0
-7.13914E+0	29.9576E+3	17.7588E-12	18.4327E+0
-7.06438E+0	29.9576E+3	16.6488E-12	14.3618E+0
-6.98963E+0	29.9576E+3	16.5269E-12	10.8448E+0
-6.91487E+0	29.9576E+3	15.8801E-12	8.48283E+0
-6.84012E+0	29.9576E+3	15.1631E-12	6.38197E+0
-6.76536E+0	29.9576E+3	14.4126E-12	6.75301E+0
-6.69061E+0	29.9576E+3	13.7884E-12	984.896E-3
-6.61585E+0	29.9576E+3	14.0029E-12	872.775E-3
-6.54110E+0	29.9576E+3	13.2921E-12	552.714E-3
-6.46634E+0	29.9576E+3	12.9774E-12	-4.10607E+0
-6.39159E+0	29.9576E+3	12.6856E-12	-2.31579E+0
-6.31683E+0	29.9576E+3	11.1992E-12	-8.33958E+0
-6.24208E+0	29.9576E+3	11.6841E-12	-8.66600E+0
-6.16732E+0	29.9576E+3	11.1828E-12	-11.0984E+0
-6.09257E+0	29.9576E+3	11.0368E-12	-10.1508E+0
-6.01781E+0	29.9576E+3	10.8203E-12	-12.6422E+0
-5.94306E+0	29.9576E+3	10.1311E-12	-11.9854E+0
-5.86830E+0	29.9576E+3	10.1218E-12	-11.3009E+0
-5.79354E+0	29.9576E+3	9.52391E-12	-14.5117E+0
-5.71879E+0	29.9576E+3	9.39325E-12	-13.5214E+0
-5.64403E+0	29.9576E+3	8.98300E-12	-18.5052E+0
-5.56928E+0	29.9576E+3	8.62293E-12	-17.9345E+0
-5.49452E+0	29.9576E+3	8.48738E-12	-17.6352E+0
-5.41977E+0	29.9576E+3	8.70418E-12	-15.7889E+0
-5.34501E+0	29.9576E+3	8.68961E-12	-18.6194E+0
-5.27026E+0	29.9576E+3	7.82630E-12	-17.2477E+0
-5.19550E+0	29.9576E+3	7.89843E-12	-20.1672E+0
-5.12075E+0	29.9576E+3	7.51932E-12	-15.8733E+0
-5.04599E+0	29.9576E+3	7.05487E-12	-20.7125E+0
-4.97124E+0	29.9576E+3	6.46050E-12	-21.5448E+0
-4.89648E+0	29.9576E+3	6.94982E-12	-20.6810E+0
-4.82173E+0	29.9576E+3	6.39442E-12	-24.6868E+0
-4.74697E+0	29.9576E+3	6.67823E-12	-26.7647E+0
-4.67222E+0	29.9576E+3	6.47360E-12	-19.7155E+0
-4.59746E+0	29.9576E+3	5.94106E-12	-20.4528E+0
-4.52271E+0	29.9576E+3	5.80733E-12	-27.5427E+0
-4.44795E+0	29.9576E+3	5.99477E-12	-24.3693E+0
-4.37320E+0	29.9576E+3	5.65803E-12	-26.7013E+0
-4.29844E+0	29.9576E+3	5.58474E-12	-20.7094E+0
-4.22369E+0	29.9576E+3	5.79536E-12	-24.3769E+0
-4.14893E+0	29.9576E+3	5.42463E-12	-28.2257E+0
-4.07418E+0	29.9576E+3	5.43500E-12	-24.0346E+0
-3.99942E+0	29.9576E+3	5.22848E-12	-24.5718E+0
-3.92466E+0	29.9576E+3	5.39575E-12	-33.6623E+0
-3.84991E+0	29.9576E+3	5.38158E-12	-29.3521E+0
-3.77515E+0	29.9576E+3	4.83172E-12	-27.7662E+0
-3.70040E+0	29.9576E+3	4.75144E-12	-26.1104E+0
-3.62564E+0	29.9576E+3	4.61375E-12	-28.6997E+0
-3.55089E+0	29.9576E+3	4.75192E-12	-25.9839E+0
-3.47613E+0	29.9576E+3	4.91108E-12	-23.3523E+0
-3.40138E+0	29.9576E+3	4.70581E-12	-26.7797E+0
-3.32662E+0	29.9576E+3	4.29998E-12	-28.4223E+0
-3.25187E+0	29.9576E+3	4.73129E-12	-28.5321E+0
-3.17711E+0	29.9576E+3	4.62805E-12	-29.7146E+0
-3.10235E+0	29.9576E+3	4.38132E-12	-27.1163E+0
-3.02760E+0	29.9576E+3	4.00505E-12	-28.1316E+0
-2.95284E+0	29.9576E+3	3.74215E-12	-24.5504E+0
-2.87809E+0	29.9576E+3	4.34926E-12	-27.3125E+0
-2.80333E+0	29.9576E+3	3.66113E-12	-28.4785E+0
-2.72858E+0	29.9576E+3	4.44700E-12	-28.4521E+0
-2.65382E+0	29.9576E+3	4.01563E-12	-32.7278E+0
-2.57907E+0	29.9576E+3	4.22179E-12	-29.9251E+0
-2.50431E+0	29.9576E+3	3.64204E-12	-33.7170E+0
-2.42956E+0	29.9576E+3	3.88765E-12	-25.8871E+0
-2.35480E+0	29.9576E+3	3.71106E-12	-39.6526E+0
-2.28005E+0	29.9576E+3	4.21004E-12	-29.6902E+0
-2.20529E+0	29.9576E+3	3.98173E-12	-27.7678E+0
-2.13053E+0	29.9576E+3	3.17341E-12	-30.0884E+0
-2.05578E+0	29.9576E+3	3.62934E-12	-31.5773E+0
-1.98102E+0	29.9576E+3	3.52084E-12	-34.5368E+0
-1.90627E+0	29.9576E+3	3.64179E-12	-32.8454E+0
-1.83151E+0	29.9576E+3	3.59347E-12	-38.3088E+0
-1.75676E+0	29.9576E+3	3.16918E-12	-29.1401E+0
-1.68200E+0	29.9576E+3	3.18405E-12	-26.8692E+0
-1.60725E+0	29.9576E+3	3.53423E-12	-28.5828E+0
-1.53249E+0	29.9576E+3	3.67229E-12	-26.3094E+0
-1.45774E+0	29.9576E+3	3.32053E-12	-39.4148E+0
-1.38298E+0	29.9576E+3	3.14473E-12	-32.3823E+0
-1.30822E+0	29.9576E+3	3.11928E-12	-44.5829E+0
-1.23347E+0	29.9576E+3	3.19766E-12	-31.3420E+0
-1.15871E+0	29.9576E+3	3.33957E-12	-38.2555E+0
-1.08396E+0	29.9576E+3	3.31736E-12	-37.9681E+0
-1.00920E+0	29.9576E+3	2.94105E-12	-40.4090E+0
-934.447E-3	29.9576E+3	3.35662E-12	-42.1575E+0
-859.692E-3	29.9576E+3	3.12922E-12	-28.2900E+0
-784.937E-3	29.9576E+3	3.02921E-12	-24.8110E+0
-710.181E-3	29.9576E+3	2.53684E-12	-46.4024E+0
-635.426E-3	29.9576E+3	2.88387E-12	-39.2561E+0
-560.670E-3	29.9576E+3	2.98083E-12	-28.2145E+0
-485.915E-3	29.9576E+3	2.53475E-12	-25.7446E+0
-411.160E-3	29.9576E+3	3.14214E-12	-28.9233E+0
-336.404E-3	29.9576E+3	2.79346E-12	-30.2384E+0
-261.649E-3	29.9576E+3	2.70512E-12	-40.6194E+0
-186.894E-3	29.9576E+3	2.85530E-12	-32.7999E+0
-112.138E-3	29.9576E+3	3.14475E-12	-40.9221E+0
-37.3829E-3	29.9576E+3	2.63773E-12	-25.6078E+0
37.3725E-3	29.9576E+3	2.71149E-12	-34.7463E+0
112.128E-3	29.9576E+3	2.60951E-12	-23.7334E+0
186.883E-3	29.9576E+3	2.98287E-12	-26.8219E+0
261.639E-3	29.9576E+3	2.45623E-12	-20.6296E+0
336.394E-3	29.9576E+3	3.01891E-12	-34.7494E+0
411.149E-3	29.9576E+3	2.57983E-12	-32.8473E+0
485.905E-3	29.9576E+3	2.91855E-12	-34.9188E+0
560.660E-3	29.9576E+3	2.71801E-12	-18.6584E+0
635.416E-3	29.9576E+3	2.80416E-12	-32.9892E+0
710.171E-3	29.9576E+3	2.92118E-12	-39.1714E+0
784.926E-3	29.9576E+3	2.63569E-12	-40.8346E+0
859.682E-3	29.9576E+3	3.03145E-12	-25.7125E+0
934.437E-3	29.9576E+3	2.53124E-12	-40.0484E+0
1.00919E+0	29.9576E+3	2.58424E-12	-28.6613E+0
1.08395E+0	29.9576E+3	2.43126E-12	-42.6321E+0
1.15870E+0	29.9576E+3	2.60556E-12	-44.9825E+0
1.23346E+0	29.9576E+3	2.78580E-12	-39.9040E+0
1.30821E+0	29.9576E+3	2.46385E-12	-29.8804E+0
1.38297E+0	29.9576E+3	2.93018E-12	-32.2203E+0
1.45773E+0	29.9576E+3	2.47143E-12	-33.2682E+0
1.53248E+0	29.9576E+3	2.25740E-12	-22.4665E+0
1.60724E+0	29.9576E+3	2.64284E-12	-34.8293E+0
1.68199E+0	29.9576E+3	2.57915E-12	-46.0393E+0
1.75675E+0	29.9576E+3	2.28128E-12	-17.9720E+0
1.83150E+0	29.9576E+3	2.32757E-12	-38.7622E+0
1.90626E+0	29.9576E+3	2.26026E-12	-34.9345E+0
1.98101E+0	29.9576E+3	2.34682E-12	-43.6322E+0
2.05577E+0	29.9576E+3	2.26081E-12	-34.9380E+0
2.13052E+0	29.9576E+3	2.63942E-12	-20.4134E+0
2.20528E+0	29.9576E+3	2.32470E-12	-24.5412E+0
2.28003E+0	29.9576E+3	2.25074E-12	-18.2035E+0
2.35479E+0	29.9576E+3	2.35662E-12	-32.3544E+0
2.42955E+0	29.9576E+3	2.81345E-12	-31.9265E+0
2.50430E+0	29.9576E+3	2.12208E-12	-43.6912E+0
2.57906E+0	29.9576E+3	2.23186E-12	-27.1337E+0
2.65381E+0	29.9576E+3	2.25877E-12	-33.0853E+0
2.72857E+0	29.9576E+3	2.67633E-12	-27.3402E+0
2.80332E+0	29.9576E+3	2.19379E-12	-39.8969E+0
2.87808E+0	29.9576E+3	2.15735E-12	-10.9140E+0
2.95283E+0	29.9576E+3	2.47242E-12	-25.1740E+0
3.02759E+0	29.9576E+3	2.37205E-12	-38.2418E+0
3.10234E+0	29.9576E+3	2.25660E-12	-37.2137E+0
3.17710E+0	29.9576E+3	2.18913E-12	-30.0188E+0
3.25186E+0	29.9576E+3	2.12335E-12	-39.3109E+0
3.32661E+0	29.9576E+3	2.16118E-12	-22.8019E+0
3.40137E+0	29.9576E+3	2.47607E-12	-26.6591E+0
3.47612E+0	29.9576E+3	2.68314E-12	-39.4544E+0
3.55088E+0	29.9576E+3	2.23047E-12	-34.5176E+0
3.62563E+0	29.9576E+3	2.46185E-12	-21.6225E+0
3.70039E+0	29.9576E+3	2.34012E-12	-26.9365E+0
3.77514E+0	29.9576E+3	2.29494E-12	-9.58014E+0
3.84990E+0	29.9576E+3	2.59999E-12	-41.9080E+0
3.92465E+0	29.9576E+3	2.13235E-12	-7.26204E+0
3.99941E+0	29.9576E+3	2.30242E-12	-14.4733E+0
4.07416E+0	29.9576E+3	2.33778E-12	-36.2805E+0
4.14892E+0	29.9576E+3	2.52317E-12	-23.1685E+0
4.22368E+0	29.9576E+3	2.24271E-12	-38.9052E+0
4.29843E+0	29.9576E+3	1.97695E-12	-16.7338E+0
4.37319E+0	29.9576E+3	2.03902E-12	-35.6026E+0
4.44794E+0	29.9576E+3	2.44160E-12	-37.8901E+0
4.52270E+0	29.9576E+3	2.35314E-12	-21.8625E+0
4.59745E+0	29.9576E+3	2.08325E-12	-26.7597E+0
4.67221E+0	29.9576E+3	2.17133E-12	-25.9526E+0
4.74696E+0	29.9576E+3	2.22015E-12	-26.2887E+0
4.82172E+0	29.9576E+3	2.52325E-12	-9.16553E+0
4.89647E+0	29.9576E+3	2.12868E-12	-5.29738E+0
4.97123E+0	29.9576E+3	2.43906E-12	-21.0795E+0
5.04598E+0	29.9576E+3	2.08464E-12	-28.0013E+0
5.12074E+0	29.9576E+3	2.39431E-12	-33.5486E+0
5.19549E+0	29.9576E+3	2.41966E-12	-29.7910E+0
5.27025E+0	29.9576E+3	2.11565E-12	-25.3043E+0
5.34500E+0	29.9576E+3	2.30524E-12	-35.5037E+0
5.41976E+0	29.9576E+3	2.58625E-12	-78.7142E+0
5.49451E+0	29.9576E+3	2.05043E-12	-14.0869E+0
5.56927E+0	29.9576E+3	2.24645E-12	-24.0871E+0
5.64402E+0	29.9576E+3	2.19336E-12	-8.96957E+0
5.71878E+0	29.9576E+3	2.24572E-12	-16.6461E+0
5.79353E+0	29.9576E+3	2.04156E-12	-32.1538E+0
5.86829E+0	29.9576E+3	2.16632E-12	-5.98593E+0
5.94304E+0	29.9576E+3	2.34577E-12	-11.2059E+0
6.01780E+0	29.9576E+3	2.40248E-12	-17.8417E+0
6.09256E+0	29.9576E+3	2.11273E-12	-4.48119E+0
6.16731E+0	29.9576E+3	2.09159E-12	-38.3673E+0
6.24207E+0	29.9576E+3	2.24090E-12	-35.1523E+0
6.31682E+0	29.9576E+3	2.02028E-12	-26.9062E+0
6.39158E+0	29.9576E+3	2.33927E-12	-19.9129E+0
6.46633E+0	29.9576E+3	2.08868E-12	-2.84864E+0
6.54109E+0	29.9576E+3	2.04409E-12	-15.7674E+0
6.61584E+0	29.9576E+3	2.00533E-12	-46.7148E+0
6.69060E+0	29.9576E+3	2.39354E-12	-16.5455E+0
6.76535E+0	29.9576E+3	2.53796E-12	-26.7172E+0
6.84011E+0	29.9576E+3	2.12301E-12	-3.30552E+0
6.91486E+0	29.9576E+3	2.11259E-12	-22.9967E+0
6.98962E+0	29.9576E+3	1.84790E-12	-14.5581E+0
7.06437E+0	29.9576E+3	1.91479E-12	-19.5670E+0
7.13913E+0	29.9576E+3	2.21646E-12	-24.2300E+0
7.21388E+0	29.9576E+3	1.91373E-12	-18.1745E+0
7.28864E+0	29.9576E+3	2.01575E-12	-21.2962E+0
7.36339E+0	29.9576E+3	2.11122E-12	-10.2649E+0
7.43815E+0	29.9576E+3	2.14508E-12	-35.5360E+0
7.51290E+0	29.9576E+3	2.27029E-12	334.350E-3
7.58766E+0	29.9576E+3	2.04625E-12	-13.7240E+0
7.66241E+0	29.9576E+3	2.19775E-12	-24.8878E+0
7.73717E+0	29.9576E+3	1.95259E-12	-7.34039E+0
7.81192E+0	29.9576E+3	2.13474E-12	-42.9127E+0
7.88668E+0	29.9576E+3	2.14340E-12	-10.6531E+0
7.96143E+0	29.9576E+3	2.12335E-12	-18.0217E+0
8.03619E+0	29.9576E+3	2.54032E-12	-28.5738E+0
8.11095E+0	29.9576E+3	1.82153E-12	7.10776E+0
8.18570E+0	29.9576E+3	2.30182E-12	-7.05028E+0
8.26046E+0	29.9576E+3	2.24554E-12	-47.7125E+0
8.33521E+0	29.9576E+3	1.93969E-12	-19.6376E+0
8.40997E+0	29.9576E+3	1.82469E-12	-2.05815E+0
8.48472E+0	29.9576E+3	2.34014E-12	-21.9789E+0
8.55948E+0	29.9576E+3	1.98597E-12	-1.65556E+0
8.63424E+0	29.9576E+3	1.79677E-12	-16.2558E+0
8.70899E+0	29.9576E+3	2.10663E-12	-4.16668E+0
8.78375E+0	29.9576E+3	1.86711E-12	-32.0720E+0
8.85850E+0	29.9576E+3	1.79422E-12	-4.32360E+0
8.93326E+0	29.9576E+3	1.83581E-12	-33.2129E+0
9.00801E+0	29.9576E+3	2.03013E-12	21.8759E+0
9.08277E+0	29.9576E+3	2.12275E-12	-36.5706E+0
9.15753E+0	29.9576E+3	2.08655E-12	-16.2419E+0
9.23228E+0	29.9576E+3	1.83908E-12	-16.8812E+0
9.30704E+0	29.9576E+3	1.96563E-12	-13.1587E+0
9.38179E+0	29.9576E+3	2.00756E-12	-19.6978E+0
9.45655E+0	29.9576E+3	1.78641E-12	-24.5018E+0
9.53130E+0	29.9576E+3	2.16595E-12	-7.96542E+0
9.60606E+0	29.9576E+3	2.15936E-12	-35.9017E+0
9.68081E+0	29.9576E+3	2.19984E-12	-14.3982E+0
9.75557E+0	29.9576E+3	2.37117E-12	-18.0087E+0
9.83033E+0	29.9576E+3	2.09049E-12	-15.1100E+0
9.90508E+0	29.9576E+3	2.08928E-12	-3.04944E+0
9.97984E+0	29.9576E+3	1.99312E-12	136.103E-3
10.0546E+0	29.9576E+3	2.03402E-12	-30.5484E+0
10.1293E+0	29.9576E+3	2.24979E-12	-9.80357E+0
10.2041E+0	29.9576E+3	1.98208E-12	-30.2063E+0
