Points ,Time s,7270: Instrument 0 :S/N 10105200: Osc Frequency Hz,7270: Instrument 0 :S/N 10105200: Osc Amplitude V, ,7270: Instrument 0 :S/N 10105200: X (volts/amps) V,7270: Instrument 0 :S/N 10105200: Y (volts/amps) V, , , , , , 
0,0.000000,3.160000e+004,1.000000e-001,,-1.359000e-003,-9.179000e-003,,,,,,,
1,0.499000,3.160030e+004,1.000000e-001,,-1.358000e-003,-9.181000e-003,,,,,,,
2,0.999000,3.160060e+004,1.000000e-001,,-1.358000e-003,-9.182000e-003,,,,,,,
3,1.499000,3.160090e+004,1.000000e-001,,-1.360000e-003,-9.185000e-003,,,,,,,
4,2.000000,3.160120e+004,1.000000e-001,,-1.356000e-003,-9.184000e-003,,,,,,,
5,2.499000,3.160150e+004,1.000000e-001,,-1.359000e-003,-9.185000e-003,,,,,,,
6,3.000000,3.160180e+004,1.000000e-001,,-1.362000e-003,-9.184000e-003,,,,,,,
7,3.499000,3.160210e+004,1.000000e-001,,-1.357000e-003,-9.184000e-003,,,,,,,
8,4.000000,3.160240e+004,1.000000e-001,,-1.361000e-003,-9.183000e-003,,,,,,,
9,4.500000,3.160270e+004,1.000000e-001,,-1.356000e-003,-9.189000e-003,,,,,,,
10,5.000000,3.160300e+004,1.000000e-001,,-1.357000e-003,-9.185000e-003,,,,,,,
11,5.500000,3.160330e+004,1.000000e-001,,-1.357000e-003,-9.187000e-003,,,,,,,
12,5.999000,3.160360e+004,1.000000e-001,,-1.353000e-003,-9.186000e-003,,,,,,,
13,6.499000,3.160390e+004,1.000000e-001,,-1.359000e-003,-9.186000e-003,,,,,,,
14,6.999000,3.160420e+004,1.000000e-001,,-1.353000e-003,-9.191000e-003,,,,,,,
15,7.500000,3.160450e+004,1.000000e-001,,-1.359000e-003,-9.192000e-003,,,,,,,
16,8.000000,3.160480e+004,1.000000e-001,,-1.358000e-003,-9.190000e-003,,,,,,,
17,8.499000,3.160510e+004,1.000000e-001,,-1.360000e-003,-9.189000e-003,,,,,,,
18,8.999000,3.160540e+004,1.000000e-001,,-1.356000e-003,-9.194000e-003,,,,,,,
19,9.500000,3.160570e+004,1.000000e-001,,-1.358000e-003,-9.191000e-003,,,,,,,
20,9.999000,3.160600e+004,1.000000e-001,,-1.360000e-003,-9.190000e-003,,,,,,,
21,10.499000,3.160630e+004,1.000000e-001,,-1.362000e-003,-9.191000e-003,,,,,,,
22,10.999000,3.160660e+004,1.000000e-001,,-1.361000e-003,-9.196000e-003,,,,,,,
23,11.499000,3.160690e+004,1.000000e-001,,-1.360000e-003,-9.195000e-003,,,,,,,
24,11.999000,3.160720e+004,1.000000e-001,,-1.361000e-003,-9.196000e-003,,,,,,,
25,12.499000,3.160750e+004,1.000000e-001,,-1.356000e-003,-9.193000e-003,,,,,,,
26,12.999000,3.160780e+004,1.000000e-001,,-1.362000e-003,-9.192000e-003,,,,,,,
27,13.500000,3.160810e+004,1.000000e-001,,-1.363000e-003,-9.196000e-003,,,,,,,
28,13.999000,3.160840e+004,1.000000e-001,,-1.356000e-003,-9.198000e-003,,,,,,,
29,14.500000,3.160870e+004,1.000000e-001,,-1.360000e-003,-9.201000e-003,,,,,,,
30,15.000000,3.160900e+004,1.000000e-001,,-1.362000e-003,-9.200000e-003,,,,,,,
31,15.500000,3.160930e+004,1.000000e-001,,-1.356000e-003,-9.200000e-003,,,,,,,
32,16.000000,3.160960e+004,1.000000e-001,,-1.359000e-003,-9.201000e-003,,,,,,,
33,16.500000,3.160990e+004,1.000000e-001,,-1.360000e-003,-9.203000e-003,,,,,,,
34,16.999000,3.161020e+004,1.000000e-001,,-1.358000e-003,-9.205000e-003,,,,,,,
35,17.500000,3.161050e+004,1.000000e-001,,-1.360000e-003,-9.203000e-003,,,,,,,
36,17.999000,3.161080e+004,1.000000e-001,,-1.361000e-003,-9.202000e-003,,,,,,,
37,18.500000,3.161110e+004,1.000000e-001,,-1.361000e-003,-9.206000e-003,,,,,,,
38,19.000000,3.161140e+004,1.000000e-001,,-1.360000e-003,-9.206000e-003,,,,,,,
39,19.500000,3.161170e+004,1.000000e-001,,-1.355000e-003,-9.207000e-003,,,,,,,
40,19.999000,3.161200e+004,1.000000e-001,,-1.358000e-003,-9.206000e-003,,,,,,,
41,20.499000,3.161230e+004,1.000000e-001,,-1.358000e-003,-9.209000e-003,,,,,,,
42,21.000000,3.161260e+004,1.000000e-001,,-1.358000e-003,-9.209000e-003,,,,,,,
43,21.500000,3.161290e+004,1.000000e-001,,-1.357000e-003,-9.208000e-003,,,,,,,
44,22.000000,3.161320e+004,1.000000e-001,,-1.360000e-003,-9.209000e-003,,,,,,,
45,22.499000,3.161350e+004,1.000000e-001,,-1.356000e-003,-9.208000e-003,,,,,,,
46,22.999000,3.161380e+004,1.000000e-001,,-1.356000e-003,-9.209000e-003,,,,,,,
47,23.499000,3.161410e+004,1.000000e-001,,-1.361000e-003,-9.213000e-003,,,,,,,
48,24.000000,3.161440e+004,1.000000e-001,,-1.356000e-003,-9.214000e-003,,,,,,,
49,24.499000,3.161470e+004,1.000000e-001,,-1.357000e-003,-9.214000e-003,,,,,,,
50,25.000000,3.161500e+004,1.000000e-001,,-1.361000e-003,-9.215000e-003,,,,,,,
51,25.499000,3.161530e+004,1.000000e-001,,-1.364000e-003,-9.218000e-003,,,,,,,
52,26.000000,3.161560e+004,1.000000e-001,,-1.358000e-003,-9.214000e-003,,,,,,,
53,26.500000,3.161590e+004,1.000000e-001,,-1.359000e-003,-9.219000e-003,,,,,,,
54,27.000000,3.161620e+004,1.000000e-001,,-1.361000e-003,-9.213000e-003,,,,,,,
55,27.499000,3.161650e+004,1.000000e-001,,-1.359000e-003,-9.215000e-003,,,,,,,
56,27.999000,3.161680e+004,1.000000e-001,,-1.362000e-003,-9.216000e-003,,,,,,,
57,28.499000,3.161710e+004,1.000000e-001,,-1.361000e-003,-9.214000e-003,,,,,,,
58,29.000000,3.161740e+004,1.000000e-001,,-1.359000e-003,-9.220000e-003,,,,,,,
59,29.500000,3.161770e+004,1.000000e-001,,-1.359000e-003,-9.217000e-003,,,,,,,
60,30.000000,3.161800e+004,1.000000e-001,,-1.360000e-003,-9.221000e-003,,,,,,,
61,30.500000,3.161830e+004,1.000000e-001,,-1.362000e-003,-9.225000e-003,,,,,,,
62,31.000000,3.161860e+004,1.000000e-001,,-1.358000e-003,-9.224000e-003,,,,,,,
63,31.500000,3.161890e+004,1.000000e-001,,-1.363000e-003,-9.219000e-003,,,,,,,
64,32.000000,3.161920e+004,1.000000e-001,,-1.358000e-003,-9.224000e-003,,,,,,,
