Points ,Time s,7270: Instrument 0 :S/N 10105200: Osc Frequency Hz,7270: Instrument 0 :S/N 10105200: Osc Amplitude V, ,7270: Instrument 0 :S/N 10105200: X (volts/amps) V,7270: Instrument 0 :S/N 10105200: Y (volts/amps) V, , , , , , 
0,0.000000,2.940000e+004,1.000000e-001,,-1.509000e-003,-9.771000e-003,,,,,,,
1,0.500000,2.940030e+004,1.000000e-001,,-1.509000e-003,-9.769000e-003,,,,,,,
2,1.000000,2.940060e+004,1.000000e-001,,-1.512000e-003,-9.768000e-003,,,,,,,
3,1.500000,2.940090e+004,1.000000e-001,,-1.511000e-003,-9.771000e-003,,,,,,,
4,2.001000,2.940120e+004,1.000000e-001,,-1.507000e-003,-9.771000e-003,,,,,,,
5,2.500000,2.940150e+004,1.000000e-001,,-1.509000e-003,-9.771000e-003,,,,,,,
6,3.000000,2.940180e+004,1.000000e-001,,-1.507000e-003,-9.772000e-003,,,,,,,
7,3.500000,2.940210e+004,1.000000e-001,,-1.509000e-003,-9.770000e-003,,,,,,,
8,4.000000,2.940240e+004,1.000000e-001,,-1.510000e-003,-9.772000e-003,,,,,,,
9,4.500000,2.940270e+004,1.000000e-001,,-1.509000e-003,-9.768000e-003,,,,,,,
10,5.000000,2.940300e+004,1.000000e-001,,-1.510000e-003,-9.773000e-003,,,,,,,
11,5.500000,2.940330e+004,1.000000e-001,,-1.508000e-003,-9.775000e-003,,,,,,,
12,6.000000,2.940360e+004,1.000000e-001,,-1.510000e-003,-9.772000e-003,,,,,,,
13,6.500000,2.940390e+004,1.000000e-001,,-1.507000e-003,-9.774000e-003,,,,,,,
14,7.000000,2.940420e+004,1.000000e-001,,-1.511000e-003,-9.775000e-003,,,,,,,
15,7.500000,2.940450e+004,1.000000e-001,,-1.508000e-003,-9.774000e-003,,,,,,,
16,8.000000,2.940480e+004,1.000000e-001,,-1.510000e-003,-9.775000e-003,,,,,,,
17,8.500000,2.940510e+004,1.000000e-001,,-1.513000e-003,-9.775000e-003,,,,,,,
18,9.000000,2.940540e+004,1.000000e-001,,-1.514000e-003,-9.775000e-003,,,,,,,
19,9.500000,2.940570e+004,1.000000e-001,,-1.513000e-003,-9.776000e-003,,,,,,,
20,10.000000,2.940600e+004,1.000000e-001,,-1.511000e-003,-9.777000e-003,,,,,,,
21,10.500000,2.940630e+004,1.000000e-001,,-1.509000e-003,-9.776000e-003,,,,,,,
22,11.000000,2.940660e+004,1.000000e-001,,-1.513000e-003,-9.777000e-003,,,,,,,
23,11.500000,2.940690e+004,1.000000e-001,,-1.509000e-003,-9.778000e-003,,,,,,,
24,12.000000,2.940720e+004,1.000000e-001,,-1.511000e-003,-9.778000e-003,,,,,,,
25,12.500000,2.940750e+004,1.000000e-001,,-1.510000e-003,-9.779000e-003,,,,,,,
26,13.001000,2.940780e+004,1.000000e-001,,-1.511000e-003,-9.779000e-003,,,,,,,
27,13.500000,2.940810e+004,1.000000e-001,,-1.510000e-003,-9.777000e-003,,,,,,,
28,14.000000,2.940840e+004,1.000000e-001,,-1.509000e-003,-9.781000e-003,,,,,,,
29,14.500000,2.940870e+004,1.000000e-001,,-1.511000e-003,-9.781000e-003,,,,,,,
30,15.000000,2.940900e+004,1.000000e-001,,-1.508000e-003,-9.778000e-003,,,,,,,
31,15.500000,2.940930e+004,1.000000e-001,,-1.509000e-003,-9.781000e-003,,,,,,,
32,16.000000,2.940960e+004,1.000000e-001,,-1.507000e-003,-9.780000e-003,,,,,,,
33,16.500000,2.940990e+004,1.000000e-001,,-1.509000e-003,-9.783000e-003,,,,,,,
34,17.000000,2.941020e+004,1.000000e-001,,-1.507000e-003,-9.782000e-003,,,,,,,
35,17.501000,2.941050e+004,1.000000e-001,,-1.510000e-003,-9.782000e-003,,,,,,,
36,18.000000,2.941080e+004,1.000000e-001,,-1.506000e-003,-9.786000e-003,,,,,,,
37,18.500000,2.941110e+004,1.000000e-001,,-1.511000e-003,-9.784000e-003,,,,,,,
38,19.000000,2.941140e+004,1.000000e-001,,-1.506000e-003,-9.783000e-003,,,,,,,
39,19.500000,2.941170e+004,1.000000e-001,,-1.509000e-003,-9.786000e-003,,,,,,,
40,20.000000,2.941200e+004,1.000000e-001,,-1.510000e-003,-9.785000e-003,,,,,,,
41,20.500000,2.941230e+004,1.000000e-001,,-1.509000e-003,-9.785000e-003,,,,,,,
42,21.000000,2.941260e+004,1.000000e-001,,-1.509000e-003,-9.785000e-003,,,,,,,
43,21.500000,2.941290e+004,1.000000e-001,,-1.508000e-003,-9.787000e-003,,,,,,,
44,22.001000,2.941320e+004,1.000000e-001,,-1.509000e-003,-9.787000e-003,,,,,,,
45,22.500000,2.941350e+004,1.000000e-001,,-1.511000e-003,-9.788000e-003,,,,,,,
46,23.000000,2.941380e+004,1.000000e-001,,-1.508000e-003,-9.786000e-003,,,,,,,
47,23.501000,2.941410e+004,1.000000e-001,,-1.505000e-003,-9.791000e-003,,,,,,,
48,24.000000,2.941440e+004,1.000000e-001,,-1.509000e-003,-9.788000e-003,,,,,,,
49,24.500000,2.941470e+004,1.000000e-001,,-1.507000e-003,-9.789000e-003,,,,,,,
50,25.000000,2.941500e+004,1.000000e-001,,-1.513000e-003,-9.793000e-003,,,,,,,
51,25.500000,2.941530e+004,1.000000e-001,,-1.512000e-003,-9.785000e-003,,,,,,,
52,26.000000,2.941560e+004,1.000000e-001,,-1.510000e-003,-9.788000e-003,,,,,,,
53,26.500000,2.941590e+004,1.000000e-001,,-1.514000e-003,-9.790000e-003,,,,,,,
54,27.000000,2.941620e+004,1.000000e-001,,-1.513000e-003,-9.793000e-003,,,,,,,
55,27.500000,2.941650e+004,1.000000e-001,,-1.513000e-003,-9.793000e-003,,,,,,,
56,28.000000,2.941680e+004,1.000000e-001,,-1.512000e-003,-9.791000e-003,,,,,,,
57,28.500000,2.941710e+004,1.000000e-001,,-1.514000e-003,-9.792000e-003,,,,,,,
58,29.000000,2.941740e+004,1.000000e-001,,-1.510000e-003,-9.792000e-003,,,,,,,
59,29.500000,2.941770e+004,1.000000e-001,,-1.511000e-003,-9.798000e-003,,,,,,,
60,30.000000,2.941800e+004,1.000000e-001,,-1.512000e-003,-9.796000e-003,,,,,,,
61,30.500000,2.941830e+004,1.000000e-001,,-1.509000e-003,-9.793000e-003,,,,,,,
62,31.000000,2.941860e+004,1.000000e-001,,-1.511000e-003,-9.795000e-003,,,,,,,
63,31.500000,2.941890e+004,1.000000e-001,,-1.510000e-003,-9.794000e-003,,,,,,,
64,32.000000,2.941920e+004,1.000000e-001,,-1.511000e-003,-9.797000e-003,,,,,,,
65,32.500000,2.941950e+004,1.000000e-001,,-1.510000e-003,-9.799000e-003,,,,,,,
66,33.000000,2.941980e+004,1.000000e-001,,-1.509000e-003,-9.797000e-003,,,,,,,
67,33.500000,2.942010e+004,1.000000e-001,,-1.511000e-003,-9.801000e-003,,,,,,,
68,34.000000,2.942040e+004,1.000000e-001,,-1.511000e-003,-9.801000e-003,,,,,,,
69,34.500000,2.942070e+004,1.000000e-001,,-1.511000e-003,-9.799000e-003,,,,,,,
70,35.000000,2.942100e+004,1.000000e-001,,-1.509000e-003,-9.798000e-003,,,,,,,
71,35.500000,2.942130e+004,1.000000e-001,,-1.508000e-003,-9.803000e-003,,,,,,,
72,36.000000,2.942160e+004,1.000000e-001,,-1.511000e-003,-9.801000e-003,,,,,,,
73,36.500000,2.942190e+004,1.000000e-001,,-1.508000e-003,-9.804000e-003,,,,,,,
74,37.000000,2.942220e+004,1.000000e-001,,-1.510000e-003,-9.802000e-003,,,,,,,
75,37.500000,2.942250e+004,1.000000e-001,,-1.511000e-003,-9.805000e-003,,,,,,,
76,38.001000,2.942280e+004,1.000000e-001,,-1.510000e-003,-9.803000e-003,,,,,,,
77,38.500000,2.942310e+004,1.000000e-001,,-1.509000e-003,-9.806000e-003,,,,,,,
78,39.001000,2.942340e+004,1.000000e-001,,-1.509000e-003,-9.805000e-003,,,,,,,
79,39.500000,2.942370e+004,1.000000e-001,,-1.508000e-003,-9.802000e-003,,,,,,,
80,40.000000,2.942400e+004,1.000000e-001,,-1.507000e-003,-9.805000e-003,,,,,,,
81,40.500000,2.942430e+004,1.000000e-001,,-1.509000e-003,-9.803000e-003,,,,,,,
82,41.000000,2.942460e+004,1.000000e-001,,-1.510000e-003,-9.805000e-003,,,,,,,
83,41.500000,2.942490e+004,1.000000e-001,,-1.508000e-003,-9.808000e-003,,,,,,,
84,42.000000,2.942520e+004,1.000000e-001,,-1.511000e-003,-9.808000e-003,,,,,,,
85,42.500000,2.942550e+004,1.000000e-001,,-1.512000e-003,-9.811000e-003,,,,,,,
86,43.000000,2.942580e+004,1.000000e-001,,-1.510000e-003,-9.810000e-003,,,,,,,
87,43.500000,2.942610e+004,1.000000e-001,,-1.513000e-003,-9.811000e-003,,,,,,,
88,44.000000,2.942640e+004,1.000000e-001,,-1.512000e-003,-9.814000e-003,,,,,,,
89,44.500000,2.942670e+004,1.000000e-001,,-1.511000e-003,-9.809000e-003,,,,,,,
90,45.000000,2.942700e+004,1.000000e-001,,-1.514000e-003,-9.813000e-003,,,,,,,
91,45.500000,2.942730e+004,1.000000e-001,,-1.512000e-003,-9.813000e-003,,,,,,,
92,46.000000,2.942760e+004,1.000000e-001,,-1.512000e-003,-9.812000e-003,,,,,,,
93,46.500000,2.942790e+004,1.000000e-001,,-1.513000e-003,-9.817000e-003,,,,,,,
94,47.000000,2.942820e+004,1.000000e-001,,-1.514000e-003,-9.815000e-003,,,,,,,
95,47.500000,2.942850e+004,1.000000e-001,,-1.514000e-003,-9.818000e-003,,,,,,,
96,48.000000,2.942880e+004,1.000000e-001,,-1.510000e-003,-9.816000e-003,,,,,,,
97,48.500000,2.942910e+004,1.000000e-001,,-1.512000e-003,-9.816000e-003,,,,,,,
98,49.000000,2.942940e+004,1.000000e-001,,-1.509000e-003,-9.817000e-003,,,,,,,
99,49.500000,2.942970e+004,1.000000e-001,,-1.512000e-003,-9.818000e-003,,,,,,,
100,50.000000,2.943000e+004,1.000000e-001,,-1.511000e-003,-9.820000e-003,,,,,,,
101,50.501000,2.943030e+004,1.000000e-001,,-1.508000e-003,-9.824000e-003,,,,,,,
102,51.000000,2.943060e+004,1.000000e-001,,-1.508000e-003,-9.820000e-003,,,,,,,
103,51.500000,2.943090e+004,1.000000e-001,,-1.512000e-003,-9.822000e-003,,,,,,,
104,52.000000,2.943120e+004,1.000000e-001,,-1.512000e-003,-9.824000e-003,,,,,,,
105,52.500000,2.943150e+004,1.000000e-001,,-1.507000e-003,-9.823000e-003,,,,,,,
106,53.001000,2.943180e+004,1.000000e-001,,-1.512000e-003,-9.823000e-003,,,,,,,
107,53.500000,2.943210e+004,1.000000e-001,,-1.505000e-003,-9.823000e-003,,,,,,,
108,54.000000,2.943240e+004,1.000000e-001,,-1.511000e-003,-9.829000e-003,,,,,,,
109,54.500000,2.943270e+004,1.000000e-001,,-1.510000e-003,-9.826000e-003,,,,,,,
110,55.000000,2.943300e+004,1.000000e-001,,-1.510000e-003,-9.828000e-003,,,,,,,
111,55.500000,2.943330e+004,1.000000e-001,,-1.506000e-003,-9.829000e-003,,,,,,,
112,56.000000,2.943360e+004,1.000000e-001,,-1.507000e-003,-9.826000e-003,,,,,,,
113,56.501000,2.943390e+004,1.000000e-001,,-1.508000e-003,-9.827000e-003,,,,,,,
114,57.000000,2.943420e+004,1.000000e-001,,-1.507000e-003,-9.829000e-003,,,,,,,
115,57.500000,2.943450e+004,1.000000e-001,,-1.505000e-003,-9.831000e-003,,,,,,,
116,58.000000,2.943480e+004,1.000000e-001,,-1.507000e-003,-9.834000e-003,,,,,,,
117,58.500000,2.943510e+004,1.000000e-001,,-1.509000e-003,-9.833000e-003,,,,,,,
118,59.000000,2.943540e+004,1.000000e-001,,-1.511000e-003,-9.834000e-003,,,,,,,
119,59.500000,2.943570e+004,1.000000e-001,,-1.510000e-003,-9.835000e-003,,,,,,,
120,60.001000,2.943600e+004,1.000000e-001,,-1.511000e-003,-9.832000e-003,,,,,,,
121,60.500000,2.943630e+004,1.000000e-001,,-1.508000e-003,-9.835000e-003,,,,,,,
122,61.000000,2.943660e+004,1.000000e-001,,-1.511000e-003,-9.836000e-003,,,,,,,
123,61.500000,2.943690e+004,1.000000e-001,,-1.509000e-003,-9.840000e-003,,,,,,,
124,62.000000,2.943720e+004,1.000000e-001,,-1.509000e-003,-9.841000e-003,,,,,,,
125,62.500000,2.943750e+004,1.000000e-001,,-1.508000e-003,-9.839000e-003,,,,,,,
126,63.000000,2.943780e+004,1.000000e-001,,-1.507000e-003,-9.844000e-003,,,,,,,
127,63.500000,2.943810e+004,1.000000e-001,,-1.508000e-003,-9.846000e-003,,,,,,,
128,64.000000,2.943840e+004,1.000000e-001,,-1.507000e-003,-9.845000e-003,,,,,,,
129,64.500000,2.943870e+004,1.000000e-001,,-1.510000e-003,-9.844000e-003,,,,,,,
130,65.000000,2.943900e+004,1.000000e-001,,-1.511000e-003,-9.845000e-003,,,,,,,
131,65.500000,2.943930e+004,1.000000e-001,,-1.511000e-003,-9.848000e-003,,,,,,,
132,66.000000,2.943960e+004,1.000000e-001,,-1.511000e-003,-9.848000e-003,,,,,,,
133,66.500000,2.943990e+004,1.000000e-001,,-1.507000e-003,-9.848000e-003,,,,,,,
134,67.000000,2.944020e+004,1.000000e-001,,-1.508000e-003,-9.849000e-003,,,,,,,
135,67.500000,2.944050e+004,1.000000e-001,,-1.511000e-003,-9.853000e-003,,,,,,,
136,68.000000,2.944080e+004,1.000000e-001,,-1.509000e-003,-9.854000e-003,,,,,,,
137,68.500000,2.944110e+004,1.000000e-001,,-1.507000e-003,-9.856000e-003,,,,,,,
138,69.000000,2.944140e+004,1.000000e-001,,-1.508000e-003,-9.853000e-003,,,,,,,
139,69.500000,2.944170e+004,1.000000e-001,,-1.507000e-003,-9.856000e-003,,,,,,,
140,70.000000,2.944200e+004,1.000000e-001,,-1.509000e-003,-9.859000e-003,,,,,,,
141,70.500000,2.944230e+004,1.000000e-001,,-1.507000e-003,-9.861000e-003,,,,,,,
142,71.000000,2.944260e+004,1.000000e-001,,-1.507000e-003,-9.859000e-003,,,,,,,
143,71.500000,2.944290e+004,1.000000e-001,,-1.506000e-003,-9.859000e-003,,,,,,,
144,72.000000,2.944320e+004,1.000000e-001,,-1.504000e-003,-9.860000e-003,,,,,,,
145,72.500000,2.944350e+004,1.000000e-001,,-1.505000e-003,-9.862000e-003,,,,,,,
146,73.000000,2.944380e+004,1.000000e-001,,-1.504000e-003,-9.862000e-003,,,,,,,
147,73.500000,2.944410e+004,1.000000e-001,,-1.508000e-003,-9.865000e-003,,,,,,,
148,74.000000,2.944440e+004,1.000000e-001,,-1.508000e-003,-9.868000e-003,,,,,,,
149,74.500000,2.944470e+004,1.000000e-001,,-1.502000e-003,-9.871000e-003,,,,,,,
150,75.000000,2.944500e+004,1.000000e-001,,-1.508000e-003,-9.871000e-003,,,,,,,
151,75.500000,2.944530e+004,1.000000e-001,,-1.507000e-003,-9.872000e-003,,,,,,,
152,76.000000,2.944560e+004,1.000000e-001,,-1.507000e-003,-9.872000e-003,,,,,,,
153,76.500000,2.944590e+004,1.000000e-001,,-1.508000e-003,-9.872000e-003,,,,,,,
154,77.000000,2.944620e+004,1.000000e-001,,-1.507000e-003,-9.875000e-003,,,,,,,
155,77.500000,2.944650e+004,1.000000e-001,,-1.508000e-003,-9.875000e-003,,,,,,,
156,78.000000,2.944680e+004,1.000000e-001,,-1.506000e-003,-9.880000e-003,,,,,,,
